File Size,Time
0.083984375,0.035
3.1181640625,0.055
6.1787109375,0.07
9.6357421875,0.074
12.654296875,0.082
15.3271484375,0.145
19.640625,0.159
22.48828125,0.154
24.4296875,0.186
28.5224609375,0.169
30.1337890625,0.204
33.7744140625,0.224
37.16015625,0.278
40.2548828125,0.276
42.1611328125,0.359
47.04296875,0.35
50.2275390625,0.324
52.541015625,0.389
57.7236328125,0.376
58.568359375,0.371
61.1630859375,0.391
65.4462890625,0.379
67.4765625,0.41
70.654296875,0.409
74.23046875,0.427
77.6123046875,0.417
83.7412109375,0.474
84.35546875,0.463
85.63671875,0.467
90.6904296875,0.463
93.7919921875,0.535
95.7158203125,0.499
97.3955078125,0.547
103.6455078125,0.58
104.314453125,0.586
108.3232421875,0.553
113.9765625,0.613
112.90625,0.634
118.7451171875,0.551
120.7646484375,0.59
123.802734375,0.61
126.572265625,0.625
131.931640625,0.673
133.8916015625,0.71
138.3232421875,0.654
142.5146484375,0.674
142.380859375,0.7
146.1259765625,0.825
150.4560546875,0.792
152.453125,0.814
157.78125,0.762
162.1640625,0.86
163.517578125,0.817
166.2373046875,0.797
167.7294921875,0.817
172.8984375,1.002
173.7880859375,0.793
177.4560546875,1.027
179.857421875,1.029
185.0703125,0.948
189.998046875,1.03
188.85546875,0.898
190.9775390625,1.008
198.0556640625,0.985
198.67578125,0.905
201.93359375,1.094
199.591796875,0.916
206.923828125,1.057
212.451171875,1.107
211.1328125,0.984
216.451171875,1.194
222.693359375,1.012
225.4765625,1.115
228.248046875,1.041
232.013671875,1.106
231.3818359375,1.207
234.67578125,1.127
239.1015625,1.174
241.4697265625,1.291
245.7802734375,1.252
251.888671875,1.236
251.5673828125,1.315
259.9189453125,1.393
258.9208984375,1.202
261.0283203125,1.411
261.9248046875,1.348
269.6298828125,1.278
270.9404296875,1.246
272.29296875,1.285
276.8408203125,1.267
278.74609375,1.315
281.943359375,1.367
285.7919921875,1.454
288.66796875,1.371
290.1630859375,1.314
298.6044921875,1.399
293.8984375,1.467
300.2900390625,1.4
304.5048828125,1.535
308.5947265625,1.307
311.25390625,1.501
314.44140625,1.5
318.29296875,1.517
320.6689453125,1.425
324.3203125,1.463
323.375,1.458
329.2744140625,1.608
335.849609375,1.64
335.7568359375,1.541
343.2646484375,1.631
337.287109375,1.512
347.7158203125,1.575
346.3095703125,1.613
353.8828125,1.534
352.658203125,1.562
357.6259765625,1.552
365.3837890625,1.627
366.62109375,1.7
361.013671875,1.685
370.7197265625,1.743
372.271484375,1.644
377.951171875,1.698
377.056640625,1.651
382.416015625,1.85
383.34375,1.696
389.328125,1.904
393.822265625,1.824
399.064453125,1.713
394.7666015625,1.692
398.6396484375,1.755
403.380859375,1.797
406.2646484375,1.869
413.134765625,1.966
410.65234375,1.749
415.4599609375,1.916
421.01171875,1.832
425.51953125,1.932
425.427734375,2.047
426.0673828125,1.916
430.60546875,2.02
431.904296875,2.062
436.1455078125,2.031
438.5751953125,1.972
441.25,1.946
447.916015625,1.913
452.7109375,2.018
454.763671875,2.016
463.1611328125,1.99
459.4208984375,2.02
467.625,2.124
466.4853515625,2.155
469.48046875,1.981
473.251953125,1.989
470.1220703125,2.07
478.931640625,2.09
482.0029296875,2.187
485.6357421875,2.046
487.1767578125,2.062
491.6083984375,2.27
494.7119140625,2.119
490.32421875,2.11
502.615234375,2.228
499.462890625,2.261
502.6875,2.195
510.267578125,2.225
512.951171875,2.18
514.2265625,2.235
519.34375,2.255
528.7080078125,2.263
526.7958984375,2.376
526.083984375,2.32
531.5478515625,2.345
531.9072265625,2.431
533.17578125,2.378
539.4921875,2.506
541.046875,2.354
543.2861328125,2.4
548.4482421875,2.411
550.7451171875,2.426
555.853515625,2.447
558.60546875,2.391
565.2216796875,2.515
570.822265625,2.391
566.98828125,2.43
576.3955078125,2.509
578.341796875,2.538
574.068359375,2.553
578.0478515625,2.551
582.50390625,2.475
585.6904296875,2.631
591.6201171875,2.503
597.166015625,2.454
597.12890625,2.704
593.064453125,2.651
604.3330078125,2.515
606.130859375,2.652
607.4287109375,2.684
607.982421875,2.63
608.5537109375,2.578
616.96484375,2.772
619.12890625,2.639
621.966796875,2.805
623.0322265625,2.65
627.9033203125,2.768
636.1669921875,2.857
641.08984375,2.818
644.48828125,2.778
644.1748046875,2.849
650.4560546875,2.776
649.9560546875,2.917
641.837890625,2.838
650.6787109375,2.78
657.232421875,2.853
660.7509765625,2.826
660.7265625,2.967
664.3935546875,2.887
672.921875,2.871
675.5517578125,2.94
673.7080078125,2.906
687.451171875,2.968
686.0537109375,2.984
681.892578125,2.965
689.7060546875,2.896
690.90625,2.86
699.6923828125,3.021
704.435546875,3.127
698.1259765625,2.957
705.001953125,3.021
703.1708984375,2.975
709.841796875,3.117
718.8955078125,3.009
719.0927734375,3.049
722.666015625,3.025
724.384765625,3.13
729.0126953125,3.124
728.2861328125,3.159
732.212890625,3.064
735.830078125,3.08
737.177734375,3.186
738.068359375,3.146
746.9521484375,3.222
746.302734375,3.147
748.7939453125,3.201
753.935546875,3.15
750.701171875,3.199
765.5595703125,3.254
769.8525390625,3.377
764.4892578125,3.235
776.7158203125,3.422
778.8818359375,3.34
777.1982421875,3.422
778.7919921875,3.32
778.666015625,3.29
783.8984375,3.646
792.57421875,3.405
791.1025390625,3.383
800.685546875,3.351
798.9150390625,3.432
809.583984375,3.473
805.8759765625,3.459
804.634765625,3.468
807.1533203125,3.574
812.4423828125,3.403
819.2119140625,3.61
812.3876953125,3.444
829.2265625,3.545
831.33984375,3.441
828.9296875,3.554
832.193359375,3.53
834.6044921875,3.441
839.34375,3.481
844.36328125,3.466
845.646484375,3.682
849.3056640625,3.69
849.6904296875,3.511
855.478515625,3.55
862.7939453125,3.629
860.2080078125,3.668
859.67578125,3.698
872.130859375,3.659
867.61328125,3.656
869.0185546875,3.766
879.990234375,3.62
873.4326171875,3.733
885.541015625,3.695
889.9599609375,3.733
888.8916015625,3.688
895.8037109375,3.669
892.1201171875,3.651
900.01171875,3.729
895.2314453125,3.697
905.103515625,3.8
897.1083984375,3.826
902.2119140625,3.799
915.875,3.817
912.8037109375,3.866
924.1083984375,3.985
930.724609375,3.919
928.8447265625,4.033
925.013671875,4.013
937.30859375,3.959
938.462890625,3.928
936.6962890625,4.044
940.236328125,3.878
938.95703125,4.044
946.3466796875,4.003
952.4521484375,4.056
945.841796875,4.004
959.6748046875,4.098
960.4765625,3.995
963.1884765625,4.128
961.1591796875,4.082
972.5986328125,4.188
965.3515625,4.066
978.396484375,4.11
980.1513671875,4.239
975.216796875,4.145
982.2841796875,4.32
984.021484375,4.202
993.2060546875,4.185
992.7373046875,4.228
994.474609375,4.211
1001.8564453125,4.284
999.26953125,4.344
1006.4580078125,4.32
1008.2265625,4.259
1011.3193359375,4.233
1021.93359375,4.362
1014.951171875,4.294
1019.23046875,4.273
1024.46484375,4.35
1021.302734375,4.266
1032.3154296875,4.259
1029.1298828125,4.217
1034.3447265625,4.391
1041.1083984375,4.433
1046.076171875,4.34
1040.2763671875,4.412
1048.64453125,4.586
1051.1787109375,4.364
1055.4482421875,4.536
1060.2919921875,4.409
1064.9833984375,4.441
1070.056640625,4.476
1060.3798828125,4.447
1074.921875,4.488
1069.97265625,4.353
1085.65234375,4.428
1088.1396484375,4.438
1080.3037109375,4.539
1082.396484375,4.548
1086.05078125,4.61
1091.3212890625,4.46
1090.0458984375,4.548
1103.24609375,4.506
1098.966796875,4.698
1104.3232421875,4.545
1104.611328125,4.567
1118.1455078125,4.665
1113.2744140625,4.741
1115.6201171875,4.67
1119.669921875,4.687
1118.7333984375,4.756
1121.1650390625,4.752
1129.029296875,4.65
1141.1435546875,4.763
1132.546875,4.724
1142.1748046875,4.953
1142.599609375,4.625
1148.5244140625,4.69
1144.1953125,4.737
1155.72265625,5.121
1156.1044921875,5.029
1152.9169921875,4.861
1158.2666015625,4.879
1169.2705078125,5.027
1163.4189453125,5.3
1167.1806640625,5.021
1178.279296875,4.923
1178.0126953125,5.016
1172.8369140625,5.372
1179.62890625,5.087
1179.076171875,4.952
1190.966796875,4.939
1192.4619140625,5.006
1188.4423828125,5.414
1198.53515625,5.522
1206.8369140625,5.064
1200.40625,5.022
1210.966796875,5.116
1210.2421875,4.964
1215.9423828125,5.108
1223.2216796875,5.063
1220.0126953125,5.158
1227.82421875,5.081
1236.6435546875,5.112
1228.2841796875,5.2
1236.025390625,5.362
1231.875,5.068
1244.2216796875,5.121
1245.6298828125,5.096
1242.1962890625,5.104
1239.384765625,5.227
1251.697265625,5.097
1260.9189453125,5.249
1255.05859375,5.238
1263.466796875,5.258
1259.6953125,5.267
1261.880859375,5.11
1272.5576171875,5.158
1276.185546875,5.284
1271.03515625,5.345
1274.80078125,5.165
1285.814453125,5.288
1287.744140625,5.295
1285.4541015625,5.249
1297.6943359375,5.313
1292.25390625,5.211
1294.3828125,5.544
1298.4541015625,5.214
1304.5009765625,5.406
1304.5556640625,5.381
1312.5146484375,5.427
1306.69140625,5.503
1304.2919921875,5.367
1320.40234375,5.429
1318.8759765625,5.356
1321.8818359375,5.298
1331.9345703125,5.427
1332.7880859375,5.428
1333.1943359375,5.53
1346.4404296875,5.43
1339.0576171875,5.409
1350.771484375,5.549
1354.6591796875,5.574
1349.3154296875,6.021
1358.7734375,5.553
1361.9658203125,5.531
1352.11328125,5.488
1359.375,5.601
1370.5078125,5.591
1362.8291015625,5.583
1375.3583984375,5.518
1373.0810546875,5.605
1376.158203125,5.625
1379.205078125,5.655
1394.90234375,5.584
1386.5380859375,5.702
1404.3154296875,5.796
1400.638671875,5.705
1409.5224609375,5.738
1399.3369140625,5.736
1400.0546875,5.649
1407.982421875,5.687
1407.33984375,5.781
1420.8408203125,5.791
1412.5478515625,5.78
1417.3046875,5.788
1426.1162109375,5.772
1427.4052734375,5.826
1425.853515625,5.724
1431.7529296875,6.07
1426.2490234375,5.929
1432.60546875,5.999
1445.1796875,5.957
1444.701171875,6.076
1444.5595703125,5.831
1451.87890625,5.936
1445.5009765625,6.079
1452.7685546875,5.778
1460.4052734375,5.955
1464.845703125,6.1
1472.2021484375,5.913
1469.2470703125,6.066
1469.6796875,6.072
1476.7744140625,5.985
1481.38671875,6.108
1489.4892578125,5.912
1475.4716796875,6.137
1484.5263671875,6.001
1486.1357421875,6.303
1498.3994140625,6.047
1500.568359375,6.148
1494.6875,6.077
1504.8515625,6.099
1502.271484375,6.145
1510.267578125,6.094
1511.0283203125,6.082
1521.271484375,6.11
1524.78125,6.307
1525.7294921875,6.273
1523.79296875,6.653
1533.634765625,6.178
1528.1533203125,6.238
1538.7734375,6.172
1539.013671875,6.643
1541.060546875,6.264
1542.9482421875,6.254
1546.322265625,6.319
1550.2314453125,6.44
1559.8935546875,6.396
1555.5859375,6.582
1552.0830078125,6.442
1566.6669921875,6.736
1563.4384765625,6.529
1565.6220703125,6.501
1576.798828125,6.803
1570.5810546875,6.882
1568.2158203125,6.754
1578.6650390625,6.57
1580.5615234375,6.562
1581.11328125,6.331
1589.6552734375,6.592
1587.5302734375,6.541
1596.83984375,6.551
1604.8154296875,6.464
1603.6494140625,6.485
1607.931640625,6.551
1609.921875,6.483
1614.40625,6.562
1615.228515625,6.849
1623.2431640625,6.542
1622.466796875,6.607
1627.380859375,6.618
1626.3759765625,6.621
1629.23828125,6.571
1636.5791015625,6.86
1653.568359375,6.603
1640.9150390625,6.576
1654.9130859375,6.693
1648.9296875,6.728
1645.2265625,6.889
1650.529296875,6.764
1646.7705078125,6.617
1663.3974609375,6.861
1664.8212890625,6.835
1679.24609375,6.725
1673.5673828125,6.793
1666.623046875,6.773
1671.2158203125,6.914
1677.67578125,6.91
1682.12890625,6.768
1677.640625,6.832
1687.1083984375,6.836
1695.482421875,6.746
1696.8818359375,6.88
1695.10546875,7.016
1701.59375,6.985
1705.3720703125,7.047
1705.80859375,7.031
1705.7392578125,6.898
1702.7080078125,7.018
1703.78515625,7.133
1722.7158203125,7.165
1714.7861328125,6.934
1724.2666015625,6.956
1727.7041015625,6.938
1730.3564453125,7.003
1736.970703125,7.067
1733.5693359375,6.947
1732.9873046875,7.546
1748.193359375,7.029
1747.5244140625,7.114
1744.1240234375,7.03
1755.9814453125,7.036
1756.7236328125,7.086
1757.7958984375,7.119
1764.0859375,7.11
1757.466796875,7.034
1766.365234375,7.264
1775.576171875,7.248
1770.7841796875,7.163
1776.4638671875,7.166
1787.8486328125,7.153
1788.828125,7.277
1777.765625,7.216
1785.6328125,7.151
1797.3984375,7.467
1784.0625,7.307
1794.6083984375,7.198
1811.62109375,7.379
1797.818359375,7.32
1809.4287109375,7.255
1813.6826171875,7.379
1815.62109375,7.428
1808.80078125,7.407
1817.380859375,7.448
1821.646484375,7.363
1826.9013671875,7.392
1834.3427734375,7.408
1831.6533203125,7.404
1840.5771484375,7.405
1833.3564453125,7.424
1830.92578125,7.421
1838.9951171875,7.465
1847.1337890625,7.593
1839.68359375,7.522
1852.953125,7.559
1862.73828125,7.565
1860.8798828125,7.46
1865.85546875,7.741
1870.3681640625,7.738
1876.4248046875,7.608
1870.9365234375,7.656
1874.92578125,7.449
1877.3232421875,7.547
1880.7109375,7.551
1890.5625,7.818
1889.896484375,7.777
1879.513671875,7.66
1893.9794921875,7.771
1899.62109375,9.605
1895.529296875,7.751
1908.224609375,7.711
1906.2548828125,7.67
1913.06640625,7.748
1912.1328125,7.827
1914.19140625,7.801
1916.4736328125,7.803
1920.9912109375,7.762
1923.314453125,7.875
1925.4423828125,7.907
1930.359375,7.753
1925.2998046875,7.763
1942.880859375,7.786
1938.8876953125,7.912
1942.4716796875,8.006
1956.74609375,7.859
1942.251953125,7.867
1952.6943359375,7.925
1959.951171875,7.959
1968.8642578125,7.826
1964.19921875,7.818
1968.302734375,7.926
1969.8701171875,8.01
1963.6376953125,7.855
1973.734375,7.941
1979.265625,8.072
1979.8046875,8.14
1995.9111328125,8.095
1991.2568359375,7.992
1993.16796875,8.213
1992.595703125,8.164
1999.271484375,8.147
1999.98046875,8.208
1999.3134765625,8.097
2002.134765625,8.234
2001.0537109375,8.103
2018.9306640625,8.055
2017.083984375,8.148
2024.5537109375,8.324
2021.8017578125,8.122
2025.7802734375,8.359
2029.7060546875,8.202
2031.1005859375,8.31
2033.2138671875,8.338
2026.6611328125,8.218
2034.7353515625,8.231
2050.1201171875,8.327
2032.529296875,8.312
2049.375,8.307
2060.697265625,8.31
2055.841796875,8.356
2053.3037109375,8.279
2076.1220703125,8.39
2063.3017578125,8.346
2063.498046875,8.321
2067.0771484375,8.507
2081.189453125,8.418
2076.95703125,8.409
2085.7353515625,8.445
2073.1572265625,8.366
2088.3291015625,8.554
2081.35546875,8.489
2093.3486328125,8.514
2108.556640625,8.545
2110.58984375,8.545
2105.2763671875,8.524
2106.6171875,8.587
2102.3251953125,8.476
2119.8955078125,8.444
2119.611328125,8.509
2114.0322265625,8.559
2119.474609375,8.515
2117.9072265625,8.587
2123.3623046875,8.599
2132.880859375,8.732
2133.2568359375,8.549
2135.857421875,8.567
2148.8564453125,8.595
2150.11328125,8.608
2134.1142578125,8.799
2154.6220703125,8.714
2155.1083984375,8.704
2152.46484375,8.767
2143.9248046875,8.822
2161.921875,8.859
2177.279296875,8.771
2155.2587890625,9.159
2163.943359375,8.9
2173.3232421875,8.77
2185.5224609375,8.841
2174.3330078125,8.851
2184.5205078125,8.844
2181.1142578125,8.781
2194.4599609375,8.833
2196.3798828125,9.008
2190.1787109375,8.8
2201.716796875,8.811
2206.0185546875,8.892
2203.4677734375,8.856
2216.908203125,8.933
2215.8701171875,9.019
2204.2373046875,8.874
2221.0869140625,9.04
2215.5380859375,8.938
2224.35546875,9.022
2226.5419921875,9.112
2220.91796875,8.995
2226.552734375,9.08
2235.5966796875,9.093
2245.6962890625,9.14
2251.8310546875,9.551
2240.2783203125,9.233
2240.486328125,9.876
2257.1015625,9.68
2255.4287109375,9.31
2255.9169921875,9.162
2257.5615234375,9.076
2268.3056640625,9.895
2265.1669921875,9.222
2261.8779296875,9.29
2272.2724609375,9.466
2273.115234375,9.661
2276.8466796875,9.221
2274.208984375,9.39
2281.6025390625,9.756
2293.8095703125,9.384
2294.8603515625,9.372
2300.482421875,9.668
2287.0537109375,9.35
2296.3623046875,9.474
2298.3916015625,9.401
2312.9423828125,9.449
2308.8056640625,9.526
2317.455078125,9.673
2316.8134765625,9.326
2314.201171875,10.002
2325.79296875,9.87
2323.318359375,9.923
2326.69140625,9.904
2325.0302734375,9.452
2328.6103515625,9.456
2333.4375,9.583
2345.50390625,9.645
2347.3271484375,9.481
2350.6279296875,9.607
2338.0087890625,9.503
2346.59375,9.522
2343.6982421875,9.466
2354.4765625,9.559
2370.5087890625,9.611
2363.1005859375,9.756
2370.5771484375,9.518
2377.642578125,9.539
2375.7724609375,9.582
2373.794921875,9.559
2371.4716796875,9.617
2387.638671875,9.774
2395.533203125,9.669
2391.625,10.064
2394.1943359375,10.303
2395.3095703125,9.705
2406.3408203125,9.818
2403.3857421875,9.75
2401.19140625,9.948
2407.611328125,10.003
2418.337890625,9.704
2403.630859375,9.642
2424.0205078125,9.739
2419.623046875,9.872
2420.1923828125,9.761
2421.7216796875,9.733
2429.166015625,9.959
2431.7919921875,10.072
2444.5107421875,9.887
2447.9052734375,10.147
2449.2001953125,9.92
2443.923828125,9.835
2452.533203125,9.941
2456.3388671875,9.958
2462.6357421875,9.89
2459.9111328125,9.853
2459.0234375,9.937
2472.1513671875,9.931
2471.5078125,9.944
2481.0576171875,9.974
2475.0458984375,10.148
2474.5419921875,10.736
2482.591796875,10.039
2492.2587890625,9.95
2484.8193359375,10.192
2495.4619140625,10.035
2491.751953125,10.076
2491.5693359375,10.218
2511.1318359375,10.057
2501.28125,9.989
2513.384765625,10.142
2503.0595703125,10.01
2504.380859375,10.168
2510.6982421875,10.036
2509.1240234375,10.091
2511.4375,10.04
2534.359375,10.214
2520.16796875,10.151
2535.185546875,10.397
2542.302734375,10.117
2540.3408203125,10.354
2543.0380859375,10.183
2559.2939453125,10.301
2551.576171875,10.162
2554.8876953125,10.655
2551.7265625,10.376
2558.2744140625,10.277
2551.080078125,10.445
2569.0380859375,10.502
2553.517578125,10.263
2578.2060546875,10.423
2569.9521484375,10.341
2577.5302734375,10.607
2576.0302734375,10.442
2569.3251953125,10.274
2584.1064453125,10.555
2587.6787109375,10.398
2584.2294921875,10.458
2605.6279296875,10.431
2610.2021484375,10.744
2598.4775390625,10.466
